model_id,task,family,enabled,onnx,surgery,audit_unsupported,audit_unknown,mpk,archive_contract,single_elf,no_so,mpk_path,notes
resnet50,classification,torchvision,True,pass,pass,0,3,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/resnet50/compile/resnet50.surgery/resnet50.surgery_mpk.tar.gz,
densenet169,classification,torchvision,True,pass,pass,0,4,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/densenet169/compile/densenet169.surgery/densenet169.surgery_mpk.tar.gz,
convnext_tiny,classification,torchvision,True,pass,pass,0,5,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/convnext_tiny/compile/convnext_tiny.surgery/convnext_tiny.surgery_mpk.tar.gz,
efficientnet_v2_s,classification,torchvision,True,pass,pass,0,3,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/efficientnet_v2_s/compile/efficientnet_v2_s.surgery/efficientnet_v2_s.surgery_mpk.tar.gz,
vit_b_16,classification,torchvision,True,pass,pass,0,4,fail,fail,,,,"T7: static-shape+attention Einsum surgery (compile_ready.onnx, 0 unsupported); INT8 quantize errors (conv2d 64 vs 768). Next: recompile from plain-MatMul surgery.onnx."
maxvit_t,classification,torchvision,True,pass,pass,0,5,rc0_fragmented,fail,False,False,/workspace/demo-neat/model-compilation/work/maxvit_t/compile_int8/maxvit_t.surgery/maxvit_t.surgery_mpk.tar.gz,"T7: rc=0 but 58 elf/78 so (136 segments); windowed attention non-4D reshapes need --any-shape-on-mla. POLICY FAILURE."
fastvit_t8,classification,timm,True,pass,pass,0,6,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/fastvit_t8/compile/fastvit_t8.surgery/fastvit_t8.surgery_mpk.tar.gz,
dinov2_vits14,feature,torchhub,True,pass,pass,0,2,rc0_fragmented,fail,False,False,/workspace/demo-neat/model-compilation/work/dinov2_vits14/compile_int8/dinov2_vits14.compile_ready/dinov2_vits14.compile_ready_mpk.tar.gz,"T7: rc=0 but 99 elf/195 so (MLA99/EV74844/A65195) even with --any-shape-on-mla; token-seq LayerNorm (channel reduction >128) + batch-axis reshapes not MLA-placeable. Blocker."
yolo11n,detection,ultralytics,True,pass,pass,0,0,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/yolo11n/compile_int8/yolo11n.compile_ready/yolo11n.compile_ready_mpk.tar.gz,compile_ready_int8
yolo26n,detection,ultralytics,True,pass,pass,0,0,pass,pass,True,True,/workspace/demo-neat/model-compilation/work/yolo26n/compile_int8/yolo26n.compile_ready/yolo26n.compile_ready_mpk.tar.gz,compile_ready_int8
detr_resnet50,detection,torchhub,False,pass,pass,0,5,not_started,,,,,"T7: generic surgery yields static compile-ready graph (pred_logits[1,100,92]/pred_boxes[1,100,4], 0 unsupported); not compiled (out of budget). Ready: 18_compile_transformer_int8.py --model-id detr_resnet50 --output-names pred_logits pred_boxes --any-shape-on-mla. BoxDecodeType.Detr=13 not usable (no raw-head decoder); CPU postprocess."
